Полное название,Красивое название,Сайты школы,Социальные сети,id школы в ВК,Профили (fixed),Краткое описание (около 112 знаков),Особенности,Наличие и стоимость продлёнки,Наличие формы,Тип школы,Наличие интерната,Адреса зданий ОУ / Административный округ,Адреса зданий ОУ / Район,Адреса зданий ОУ / Адрес,Образовательные программы,телефон,ФИО директора,Старое название на сайте 
"Федеральное государственное автономное образовательное учреждение высшего профессионального образования ""Национальный исследовательский ядерный университет ""МИФИ"". Предуниверситарий",Лицей №1511 предуниверситария НИЯУ МИФИ,"http://mephi.mskobr.ru/, Лицей на сайте департамента образования Москвы; http://www.1511.ru/, Университетский Лицей № 1511 предуниверситария НИЯУ МИФИ;","https://www.facebook.com/mephi1511/, Сообщество лицея в Facebook, https://www.instagram.com/mephi_1511/, Инстаграм Лицея № 1511,  https://twitter.com/mephi_1511, Twitter; https://www.youtube.com/user/1511ru, YouTube",,"физико-математический; 
9
физико-математический с углубленным изучением информатики;
10
",Физико-математический центр для талантливых детей при Национальном ядерном университете,"входит в состав предуниверситария НИЯУ МИФИ; ежегодный лауреат гранта Мэра Москвы с 2010 года; научное общество учащихся, в котором проводятся занятия на кафедрах НИЯУ МИФИ; сотрудничает с гимназией Winfriedschule в Фульде (Германия); кружки по математике и физике; соревнования между лицеистами: математические и физические регаты, математические бои; организатор ежегодной научной олимпиады на английском языке «Архимед»",нет,есть,лицей,нет,Южный административный округ,Москворечье-Сабурово,"Пролетарский проспект, дом 6, корпус 3","9,10,11",8 (495) 788-56-99 (доб. 5808); 8 (499) 324-29-21,Стриханов Михаил Николаевич,Лицей № 1511
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа лидерства Лаудер Эц Хайм № 1621""",Школа № 1621 «Школа лидерства Лаудер Эц-Хайм»,"
http://sch1621.mskobr.ru/, Школа на сайте департамента образования Москвы, http://www.sch1621.ru/, Школа лидерства ""Лаудер Эц-Хайм""","https://www.facebook.com/1621school/?fref=ts , Сообщество школы в Facebook",,,"Еврейская школа с высоким уровнем общих знаний, углубленным изучением языков и уютной домашней обстановкой.","находится под пaтронажем фонда Lauder; с 1 класса начинается изучение английского языка и иврита; есть курс подготовки к кембриджским экзаменам и многофункциональная лаборатория от IsraelSci-Tech; с 1 класса начинается углубленное изучение математики, информатики, робототехники, естественных наук и проектной технологии",2900 р. /мес,есть,школа,нет,"Центральный административный округ
Центральный административный округ
Центральный административный округ","Басманный
Басманный
Басманный
","Детский сад № 1136 - Ломоносовский проспект, дом 18; 
Детский сад № 1621 - Садовая-Черногрязская, дом 5/9, строения 1-1А;
Школа № 1621 “Лаудер Эц Хайм” - Малый Козловский переулок, дом 3
","0
0
1,2,3,4,5,6,7,8,9,10,11
",8(495)624-01-58; 8(495)625-70-81; 8(495)624-86-48,Ясинская Юлия Сергеевна,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 878""",Школа № 878,"http://sch878u.mskobr.ru/, Школа на сайте департамента образования; http://sch878.edusite.ru/, НОУ школы № 878","https://vk.com/club230974, Сообщество школы Вконтакте",,"социально-экономический;физико-математический; химико-биологический;
10
филологический; социально-гуманитарный;
11
","Школа, сотрудничающая с философским факультетом МГУ им. М.В. Ломоносова, ГУУ и МПГУ","авторские образовательные программы от студентов и сотрудников философского факультета МГУ им. М.В. Ломоносова, ГУУ и МПГУ; с 7 класса можно поступить в кадетский класс; выпускается школьная газета “ИМХО”; научное общество учащихся “Спектр” и детское научное общество “Первые шаги в науку”
",2460 р./мес,есть,школа,нет,"Южный административный округ
Южный административный округ
Южный административный округ
Южный административный округ
Южный административный округ
Южный административный округ
Южный административный округ
Южный административный округ
Южный административный округ
Южный административный округ
Южный административный округ
Южный административный округ
","Орехово-Борисово Северное
Орехово-Борисово Северное
Орехово-Борисово Северное
Орехово-Борисово Северное
Орехово-Борисово Северное
Орехово-Борисово Северное
Орехово-Борисово Северное
Орехово-Борисово Северное
Орехово-Борисово Северное
Орехово-Борисово Северное
Орехово-Борисово Северное
Орехово-Борисово Северное
","Лучик - Домодедовская улица, дом 22, корпус 4;
Умка - Шипиловская улица, дом 10, корпус 2;
Сказка - Домодедовская улица, дом 6, корпус 3;
Родничок - Домодедовская улица, дом 1, корпус 2;
Радуга - Домодедовская улица, дом 7, корпус 4;
Смышленок - Ореховый бульвар, дом 5, корпус 3;
Пчелка - Ореховый бульвар, дом 5, корпус 2;
Искорка - Ореховый бульвар, дом 7, корпус 3; 
Школьное здание №1 - Ореховый бульвар, дом 3;
Школьное здание №2 - Шипиловский проезд, дом 37, корпус 2;
Школьное здание №3 - Шипиловская улица, дом 18, корпус 2 ;
Школьное здание №4 - Ореховый бульвар, дом 11, корпус 3

","0
0
0
0
0
0
0
0
1,2,3,4
5,6,7,8,9,10,11
1,2,3,4,5,6,7,8,9,10,11
1,2,3,4,5,6,7,8,9,10,11
",8(495)391-29-00; 8(495)391-81-50; 8(495)391-27-44,Сысоева Людмила Анатольевна,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1034""",Школа №1034,"http://sch1034.mskobr.ru/, Школа на сайте департамента образования Москвы","https://vk.com/sch1034, Сообщество школы Вконтакте",,"универсальный;
1
социально-гуманитарный; 
10 
социально-гуманитарный; социально-экономический; химико-биологический
11
",Школа - партнер института образования НИУ ВШЕ с гимназическими классами. ,в старших классах многопрофильная модель обучения; гимназические классы с 5 по 9 год обучения; учащиеся и их родители сами определяют перечень предметов для изучения на профильном уровне,2600 р./мес,есть,школа,нет,"Южный административный округ
Южный административный округ
Южный административный округ
Южный административный округ
Южный административный округ
Южный административный округ
Южный административный округ
Южный административный округ
","Братеево
Братеево
Братеево
Братеево
Братеево
Братеево
Братеево","улица Братеевская, дом 23, корпус 4; 
улица Братеевская, дом 8, корпус 2;
Отделение Гимназия - улица Братеевская, дом 18;
Дошкольное отделение №1 - улица Ключевая, дом 10, корпус 4; 
Дошкольное отделение №2 - улица Братеевская, дом 23,корпус 2; 
Дошкольное отделение №3 - улица Братеевская, дом 10,корпус 2; 
Дошкольное отделение №4 - улица Братеевская, дом 16,корпус 5
","1,2,3,4
5,6,7,8,9,10,11
5,6,7,8,9,10,11
0
0
0
0
",8(495)341-44-73; 8(495)342-88-65; 8(495)342-48-62,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 547""
",Школа № 547,"http://sch547u.mskobr.ru/, Школа на сайте департамента образования Москвы, http://547.ru/info/, Сайт школы №547",,,"социально-гуманитарный; социально-экономический; физико-математический; химико-биологический;
10
",Школа - лауреат Гранта Мэра Москвы с многолетними традициями. ,существует с 1935 года; статус “Сетевой академии Сisco”; ученики школы регулярно принимают участие в театральных проектах; реализуются программы по воспитанию толерантности; школьный спортивный клуб “Навстречу рекордам!” и школьная газета “Отражение”,1857 р / мес,нет,школа,нет,"Южный административный округ
Южный административный округ
Южный административный округ
Южный административный округ
Южный административный округ
Южный административный округ
Южный административный округ
","Даниловский
Даниловский
Даниловский
Даниловский
Даниловский
Даниловский
Даниловский
","Школьное отделение №1 -  Малая Тульская улица, дом 15;
Школьное отделение №2 -  Даниловская набережная, дом 6;
Дошкольное отделение «Ландыш» - Малая Тульская улица, дом 45;
Дошкольное отделение «Колокольчик» - 2-я Рощинская ул., дом 13а;
Дошкольное отделение «Ирис» - 3-я Рощинская улица, дом 2;
Дошкольное отделение «Василек» - 3-й Павелецкий пр., дом 7а;
Дошкольное отделение «Одуванчик» - Дербенеская наб., дом 13/17, корп. 4
","1,2,3,4,5,6,7,8,9,10,11
1,2,3,4,5,6,7,8,9,10,11
0
0
0
0
0
0
","8(495)958-40-88; 8(495)633-92-81; 8(495)954-63-18
",,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия ""Свиблово""
","Гимназия № 1565 «Свиблово»
","http://gym-sviblovo.mskobr.ru/, Гимназия на сайте департамента образования Москвы",,,,,,,,,,"Северо-восточный административный округ
Северо-восточный административный округ
Северо-восточный административный округ
Северо-восточный административный округ
Северо-восточный административный округ
Северо-восточный административный округ
Северо-восточный административный округ
Северо-восточный административный округ
Северо-восточный административный округ
Северо-восточный административный округ
Северо-восточный административный округ
Северо-восточный административный округ
Северо-восточный административный округ
Северо-восточный административный округ
Северо-восточный административный округ
Северо-восточный административный округ","Свиблово
Свиблово
Свиблово
Свиблово
Свиблово
Свиблово
Свиблово
Свиблово
Свиблово
Свиблово
Свиблово
Свиблово
Свиблово
Свиблово
Свиблово
Свиблово","Учебный корпус 1 - улица Седова, дом 4, корпус 1;
Учебный корпус 2 - улица Амундсена, дом 10, корпус 2;
Учебный корпус 3 - 1-й Ботанический проезд, дом 2; 
Учебный корпус 4 - Тенистый проезд, дом 8, строение 1;
Учебный корпус 5 - улица Амундсена, дом 11, корпус 3;
Учебный корпус 6 - улица Седова, дом 12;
Учебный корпус 7 - проезд Русанова, дом 15, строение 1; 
Учебный корпус 8 - проезд Серебрякова, дом 3, корпус 1;
Учебный корпус 9 - проезд Русанова, дом 23, корпус 1;
Учебный корпус 10 - проезд Русанова, дом 9, корпус 2;
Учебный корпус 11 - Снежная улица, дом 9, строение 1;
Учебный корпус 12 - улица Амундсена, дом 13, корпус 3; 
Учебный корпус 13 - Ивовая улица, дом 7, корпус 1;
Учебный корпус 14 - Снежная улица, дом 10; 
Учебный корпус 15 - улица Амундсена, дом 8, корпус 1; 
Учебный корпус 16 - Тенистый проезд, дом 4 
","5.6,7,8,9,10,11
1,2,3.4,5.6,7,8,9,10,11
1,2,3.4,5.6,7,8,9,10,11
1,2,3.4,5.6,7,8,9,10,11
1,2,3.4,5.6,7,8,9,10,11
1,2,3,4
0
0
0
0
0
0
0
0
0
0
",,Грабовский Андрей Михайлович,
"Государственное бюджетное учреждение средняя общеобразовательная школа с дополнительным образованием города Москвы ""Класс-центр""","Школа № 686 «Класс-центр»
","http://cos686.mskobr.ru/, Школа на сайте департамента образования Москвы, http://klass-center.ru/, Школа № 686 ""Класс-центр""","https://www.facebook.com/%D0%93%D0%91%D0%9E%D0%A3-%D0%A8%D0%BA%D0%BE%D0%BB%D0%B0-686-%D0%9A%D0%BB%D0%B0%D1%81%D1%81-%D0%A6%D0%B5%D0%BD%D1%82%D1%80-1530733310502301/?fref=ts, Сообщество школы на Facebook",,"гуманитарный; 
10
социально-гуманитарный; 
11
","Авторская школа с тремя отделениями: общеобразовательным, музыкальным и драматическим.","интегративная авторская образовательная программа «Энциклопедия» и программа “Театр, как система гуманитарного образования”; поступление по результатам творческого прослушивания и собеседования с педагогом; индивидуальные учебные планы с 10 класса; шестидневная учебная неделя (кроме первых классов); посещение театральных спектаклей в рамках предмета “Азбука театра”; программа обучения музыке включает в себя занятия по системе академической музыкальной школы и изучение джазовой музыки;
выпускники музыкального отделения могут поступить в музыкальные вузы г. Москвы",есть,нет,школа,нет,Северный административный округ,Коптьево,"улица Большая Академическая, дом 11а","1,2,3,4,5,6,7,8,9,10,11",8(499)767-09-55; 8(499)767-08-76; 8(499)767-09-55,Казарновский Сергей Зиновьевич,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1133""",Школа № 1133,"http://sch1133.mskobr.ru/, Школа на сайте Департамента образования Москвы, http://school.oiro.net/, сайт ЭУК ""Школа развития""","https://vk.com/school1133, Сообщество школы Вконтакте",,"универсальный; 
1 
","Школа с экспериментальным учебным комплексом “Школа развития”, работающим по образовательной системе “Д.Б. Эльконина-В.В. Давыдова” ","возможны формы обучения, в том числе, семейное образования и самообразования, с прохождением промежуточной и итоговой аттестации в школе; активное участие учеников в спортивных соревнованиях и турнирах разного уровня; можно сдавать Кембриджские экзамены на базе ЭУК“Школа развития”;группа  «Адаптация дошкольников к обучению в школьных условиях» и специальный образовательный модуль для первоклассников «Первый раз в первый класс» в ЭУК “Школа развития”
",бесплатно,нет,школа,нет,"Западный административный округ
Западный административный округ
Западный административный округ
Западный административный округ
","Крылатское
Крылатское
Крылатское
Крылатское
","СП “Дошкольное отделение” – улица Крылатские Холмы, дом 11, дом  9, дом 17;
СП “Традиционная школа” – улица Крылатские Холмы дом 13 и дом 15 корпус 1;
СП “Дети с ОВЗ” – Крылатские Холмы, дом 13;
СП ЭУК “Школа развития” – дом 15 корпус 1
","0
1,2,3,4,5,6,7.8,9,10,11
1,2,3,4,5,6,7.8,9,10,11
1,2,3,4,5,6,7.8,9,10,11","8(495)413-02-24; 8(495)413-60-24
",Кустовинова Елена Юрьевна,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа ""Многопрофильный комплекс Бибирево""
",Школа № 180 ,"http://sch-bibirevo.mskobr.ru/, Школа на сайте Департамента образования Москвы","https://www.facebook.com/sch.bibirevo/, Сообщество школы на Facebook",,"социально-экономический; социально-гуманитарный; информационно-технологический; 
10
универсальный; физико-математический;
11
",Многопрофильный комплекс с кадетскими и спортивными классами. ,для школьников 9-11 классов предлагается дополнительное образование по профилю «Делопроизводство в офисе» с последующим поступлением в Колледж МИД России; с 01 сентября 2016 года открываются 5-й прокадетский и 7-й кадетский классы с казачьим компонентом в рамках договора с ФГБОУ ВО «МГУТУ им. К.Г. Разумовского» (Первый казачий университет); спортивные классы (любой спортивной направленности) с “плавающим расписанием” и индивидуальными учебными планами;,продленка до 15.00 – бесплатно; с 15.00 до 17.00 – 2500р; с 15.00 до 19.00 – 4500р ,есть,школа,нет,"Северо-восточный административный округ 
Северо-восточный административный округ 
Северо-восточный административный округ 
Северо-восточный административный округ
Северо-восточный административный округ 
Северо-восточный административный округ 
Северо-восточный административный округ 
Северо-восточный административный округ 
Северо-восточный административный округ 
Северо-восточный административный округ","Бибирево
Бибирево
Бибирево
Бибирево
Бибирево
Бибирево
Бибирево
Бибирево
Бибирево
Бибирево","Школьное Отделение №1 – улица Конёнкова, дом 8А;
Школьное Отделение №2 – улица Конёнкова, дом 10А;
Школьное Отделение №3 – улица Конёнкова, дом 4А;
Школьное Отделение №4 – улица Плещеева, дом 26А;
Дошкольное отделение №1 – улица Плещеева, дом 11Б;
Дошкольное отделение №2 – улица Плещеева, дом 7Б;
Дошкольное отделение №3 – улица Конёнкова, дом 12Б;
Дошкольное отделение №4 – улица Плещеева, дом 3Б;
Дошкольное отделение №5 – улица Пришвина, дом 19А;
Дошкольное отделение №6 – улица Плещеева, дом 8Б
","1,2,3,4,5,6,7,8,9,10,11
1,2,3,4,5,6,7,8,9,10,11
1,2,3,4,5,6,7,8,9,10,11
1,2,3,4,5,6,7,8,9,10,11
0
0
0
0
0
0
",8(499)206-94-66; 8(499)207-10-88; 8(499)207-47-42,Артамонова Мария Петровна,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия № 1514""",Гимназия №1514,,,,,,,,нет,,,,,,,,,
